SystemName,3.1.1,3.1.2,3.1.3,3.2.1,3.2.2,3.2.3,3.3.1,3.3.2,3.3.3,3.4.1,3.4.2,3.4.3,3.5.1,3.5.2,3.5.3,3.6.1,3.6.2,3.6.3,3.7.1,3.7.2,3.7.3,3.8.1,3.8.2,3.8.3,3.9.1,3.9.2,3.9.3,Result,Compliance Status
System-204,20,53,81,91,40,26,97,96,3,66,54,13,98,0,14,41,42,93,50,10,63,67,45,52,57,59,79,53,Not Compliant
System-205,82,87,96,18,12,13,26,16,3,26,65,17,86,89,61,72,35,46,0,75,6,5,69,68,83,27,56,46,Not Compliant
System-206,79,96,2,46,61,8,75,3,45,16,10,54,38,4,50,88,65,49,18,2,82,31,92,77,74,79,99,50,Not Compliant
System-207,60,53,41,47,42,87,98,67,12,46,99,90,50,26,45,2,74,43,65,97,97,10,3,29,84,13,43,53,Not Compliant
System-208,58,53,77,72,74,61,38,54,73,30,98,95,94,86,54,48,25,24,5,92,81,97,51,68,24,11,9,58,Not Compliant
System-209,1,29,15,9,77,95,55,33,54,68,93,62,78,97,34,1,66,89,11,3,46,17,5,42,2,8,56,43,Not Compliant
System-210,69,40,15,13,98,95,62,44,99,85,44,85,26,62,47,82,66,57,63,36,3,97,10,51,50,48,30,55,Not Compliant
System-211,74,52,0,94,49,10,72,87,38,98,20,6,69,10,44,82,62,91,4,8,27,93,20,91,47,11,10,47,Not Compliant
System-212,89,0,79,54,67,71,36,35,86,50,1,65,66,29,79,13,87,96,16,82,39,3,99,60,76,55,84,57,Not Compliant
System-213,32,82,88,27,49,25,99,49,82,58,42,95,32,24,33,74,91,11,54,7,44,49,80,13,59,76,49,53,Not Compliant
System-214,83,20,33,72,96,40,41,13,60,21,52,72,83,60,40,67,3,26,91,52,39,67,17,69,78,77,25,52,Not Compliant
System-215,17,2,18,41,96,56,54,9,97,26,67,26,82,6,54,86,45,88,75,92,80,8,92,44,77,88,68,56,Not Compliant
System-216,99,75,84,2,4,1,71,10,95,84,59,16,77,90,77,94,88,23,3,25,57,3,22,89,34,19,20,49,Not Compliant
System-217,34,98,9,13,39,7,22,48,23,40,94,85,27,31,66,50,91,25,10,90,70,89,42,44,76,2,57,48,Not Compliant
System-218,78,73,53,82,54,97,32,43,79,13,78,1,50,39,12,58,16,30,21,78,87,73,8,58,16,15,18,47,Not Compliant
System-219,74,83,5,97,87,39,21,52,93,1,57,22,17,27,9,82,65,85,67,20,86,19,41,1,93,61,28,50,Not Compliant
System-220,73,26,65,97,0,33,50,33,88,48,94,17,39,27,32,58,1,79,58,22,53,26,42,30,84,63,73,49,Not Compliant
System-221,85,91,64,77,61,77,45,64,43,21,75,67,80,4,47,20,41,30,81,69,69,86,50,48,39,74,31,57,Not Compliant
System-222,77,61,41,2,38,17,61,81,43,0,25,60,16,99,23,91,74,27,78,81,69,78,69,82,7,72,11,52,Not Compliant
System-223,89,85,17,47,39,1,3,13,1,62,45,63,80,99,42,67,88,28,21,80,38,65,64,33,52,82,48,51,Not Compliant
System-224,40,58,12,58,56,48,91,88,90,13,5,25,60,38,16,41,61,1,41,7,45,93,58,17,89,37,98,48,Not Compliant
System-225,38,15,78,93,13,90,32,96,64,5,18,33,23,57,48,42,60,80,62,26,90,40,91,56,97,77,92,57,Not Compliant
System-226,44,95,41,12,22,98,92,88,69,47,32,77,60,78,62,97,68,85,97,8,69,96,16,53,34,26,38,60,Not Compliant
System-227,72,13,5,18,98,29,85,50,50,5,76,43,4,71,60,48,96,59,4,67,11,69,9,83,82,62,97,51,Not Compliant
System-228,21,38,40,33,81,39,4,39,43,0,4,73,88,8,63,26,0,54,12,85,58,59,98,5,74,63,14,42,Not Compliant
System-229,15,42,92,1,19,79,6,50,2,37,19,0,44,67,63,9,49,9,42,34,44,6,12,25,7,24,32,31,Not Compliant
System-230,32,76,81,93,89,46,61,59,18,16,47,23,93,15,72,86,65,4,23,18,57,25,99,6,61,22,79,51,Not Compliant
System-231,27,67,86,47,75,50,42,42,37,92,84,42,15,84,24,40,80,66,35,84,80,40,95,26,41,7,57,55,Not Compliant
System-232,50,49,84,77,52,90,12,45,64,64,5,65,97,29,38,4,69,98,19,72,57,37,30,74,57,53,86,55,Not Compliant
System-233,91,99,1,77,83,82,86,73,45,95,40,4,62,80,26,91,51,41,17,79,33,4,61,53,3,60,87,57,Not Compliant
System-234,60,95,11,30,51,42,26,90,52,15,0,52,72,83,32,64,87,69,80,27,57,15,64,21,97,42,73,53,Not Compliant
System-235,31,20,52,98,87,54,62,3,45,21,51,35,6,49,5,58,36,98,76,62,16,82,21,26,51,41,52,46,Not Compliant
System-236,91,89,92,83,95,91,91,80,97,87,94,96,96,89,84,97,95,84,98,99,92,82,83,95,93,84,81,91,Compliant
System-237,66,64,99,22,17,9,85,73,6,34,73,53,58,79,2,46,20,29,38,47,25,17,12,74,57,54,65,46,Not Compliant
System-238,84,12,68,97,26,58,3,89,20,43,42,22,42,35,74,9,86,61,32,63,27,40,27,2,16,24,85,44,Not Compliant
System-239,45,51,58,31,6,87,0,1,32,24,49,43,9,19,69,80,50,5,72,53,96,8,20,8,9,6,22,36,Not Compliant
System-240,66,4,37,65,9,66,61,4,7,75,25,30,22,10,22,17,18,37,97,79,15,73,25,83,41,28,12,39,Not Compliant
System-241,88,57,88,74,15,20,91,75,38,92,15,10,47,15,45,64,93,95,74,54,22,27,94,28,54,50,42,55,Not Compliant
System-242,89,1,39,57,50,66,99,10,64,70,38,29,46,62,45,67,41,88,22,32,60,3,95,10,34,77,2,48,Not Compliant
System-243,6,47,98,9,83,92,9,92,38,7,78,9,70,8,49,20,13,70,58,30,84,1,13,90,66,0,97,46,Not Compliant
System-244,50,98,59,98,3,10,99,70,34,45,93,91,20,36,50,88,85,18,63,8,15,40,76,36,36,25,87,54,Not Compliant
System-245,92,16,64,59,92,0,92,28,63,93,35,48,98,59,46,24,12,54,85,2,30,62,91,71,32,30,61,54,Not Compliant
System-246,75,37,89,8,31,44,9,22,66,6,58,55,14,21,2,28,47,39,61,64,84,29,30,77,49,90,32,44,Not Compliant
System-247,40,60,47,99,0,22,12,35,3,21,83,58,50,30,78,82,0,15,41,67,4,57,64,21,61,48,48,43,Not Compliant
System-248,72,5,13,6,11,47,54,92,2,62,47,42,33,13,19,48,53,58,7,13,81,51,28,51,41,91,8,39,Not Compliant
System-249,29,42,16,81,57,70,83,2,40,13,0,41,12,56,32,53,33,10,81,5,42,12,44,41,49,59,23,38,Not Compliant
System-250,15,82,84,89,72,51,50,26,38,25,96,54,20,75,42,45,57,2,78,16,97,54,40,72,63,69,38,54,Not Compliant
System-251,84,45,26,9,92,3,88,79,65,40,60,69,64,20,70,43,10,51,38,98,51,42,8,57,82,38,35,51,Not Compliant
System-252,91,53,56,47,88,84,63,76,22,86,84,95,79,46,91,95,11,87,50,14,12,73,65,92,19,78,6,62,Not Compliant
System-253,82,81,93,83,89,90,86,94,93,81,96,93,82,84,95,99,85,87,95,97,85,97,91,95,94,98,81,90,Compliant
System-254,3,5,82,58,6,44,11,0,94,85,53,4,52,98,23,69,27,33,88,60,17,68,62,23,92,70,63,48,Not Compliant
System-255,8,65,87,78,16,92,17,15,42,43,51,69,1,69,19,64,8,39,81,16,55,64,67,71,96,0,29,47,Not Compliant
System-256,83,3,27,57,96,40,64,34,99,16,85,40,21,11,56,38,88,1,95,63,1,13,26,17,38,71,13,45,Not Compliant
System-257,77,61,21,82,25,24,97,43,59,33,53,35,76,79,31,5,99,3,17,26,46,73,0,45,28,91,75,49,Not Compliant
System-258,29,95,25,75,97,79,82,62,58,32,7,66,92,34,35,75,21,45,3,76,13,18,84,41,19,44,38,50,Not Compliant
System-259,72,10,25,47,76,44,46,60,6,71,29,2,28,25,89,52,70,64,24,88,37,91,8,3,65,15,98,47,Not Compliant
System-260,23,77,27,60,71,20,40,68,67,29,6,71,14,78,54,9,7,24,54,13,17,4,75,10,24,37,10,37,Not Compliant
System-261,60,45,49,23,44,68,11,75,50,41,14,42,58,40,13,40,82,92,44,21,2,36,20,9,54,85,47,44,Not Compliant
System-262,6,90,4,74,68,57,8,45,12,15,47,51,2,53,44,58,98,40,5,82,33,44,61,79,72,65,83,48,Not Compliant
System-263,69,42,12,83,7,61,52,26,3,84,31,60,5,47,16,35,29,51,33,22,69,90,82,23,59,58,75,46,Not Compliant
System-264,98,81,82,87,99,94,90,81,94,89,85,90,86,97,95,90,82,93,95,96,81,89,91,84,99,87,85,90,Compliant
System-265,95,24,38,38,58,93,42,17,16,34,23,38,56,9,6,82,78,19,67,83,79,78,30,28,63,14,0,45,Not Compliant
System-266,93,98,73,61,40,37,96,42,58,61,25,1,70,45,85,64,87,86,43,5,84,62,90,8,96,21,52,59,Not Compliant
System-267,62,76,24,64,57,75,40,55,5,38,32,35,1,83,2,7,76,43,57,60,8,80,64,0,29,92,85,47,Not Compliant
System-268,82,2,75,24,38,41,47,2,87,2,86,42,35,30,44,19,8,31,47,20,77,5,58,78,64,4,85,42,Not Compliant
System-269,38,88,70,1,37,13,40,97,58,1,64,6,71,70,69,0,18,70,49,90,85,31,83,68,62,42,91,53,Not Compliant
System-270,30,88,79,7,17,99,97,33,80,83,97,11,46,75,17,53,94,9,22,53,95,9,89,76,73,99,96,61,Not Compliant
System-271,8,61,73,10,41,10,69,38,64,69,9,5,75,84,70,52,13,66,13,74,40,14,82,92,15,8,81,46,Not Compliant
System-272,60,34,71,2,87,63,97,58,33,39,68,20,9,38,62,35,80,22,55,53,92,44,88,34,69,91,61,55,Not Compliant
System-273,81,99,80,98,80,97,88,96,92,97,81,99,84,83,98,85,89,87,82,86,90,99,95,94,90,93,95,91,Compliant
System-274,17,28,12,28,54,74,30,66,16,38,55,56,51,25,65,4,8,63,50,3,0,20,90,55,7,85,87,41,Not Compliant
System-275,83,83,83,8,78,56,56,10,50,45,37,6,57,68,29,79,60,16,20,10,91,61,17,75,75,51,64,51,Not Compliant
System-276,66,15,86,53,96,34,1,77,74,78,83,48,59,83,36,50,65,40,15,89,53,90,62,11,19,16,21,53,Not Compliant
System-277,36,67,35,52,40,48,45,13,53,27,8,21,80,82,75,61,7,18,60,91,30,49,30,61,43,85,92,49,Not Compliant
System-278,21,37,81,28,92,10,9,77,53,85,90,34,21,92,18,96,68,14,20,82,64,10,59,44,95,42,30,51,Not Compliant
System-279,80,84,80,99,89,87,92,80,97,89,94,84,96,91,87,89,94,91,94,85,97,81,83,93,82,97,99,90,Compliant
System-280,19,34,50,90,89,30,12,91,69,0,9,39,54,23,63,55,32,23,38,25,75,45,83,45,86,43,6,46,Not Compliant
System-281,57,29,33,94,68,75,57,60,25,68,52,34,41,84,37,59,59,92,95,71,40,21,13,40,54,3,76,54,Not Compliant
System-282,53,82,33,53,77,34,10,96,63,76,52,0,16,35,31,14,80,32,97,41,99,97,36,80,47,85,95,57,Not Compliant
System-283,13,86,6,86,26,41,87,31,73,77,35,40,68,44,27,82,22,72,5,53,76,29,54,93,18,1,96,50,Not Compliant
System-284,85,99,96,91,29,81,82,58,15,13,60,51,54,69,17,65,95,96,91,72,23,92,43,78,48,88,25,64,Not Compliant
System-285,25,96,32,57,78,87,63,52,12,61,22,97,61,98,27,80,16,57,63,83,96,64,32,41,41,69,78,59,Not Compliant
System-286,1,48,27,24,89,67,5,98,42,10,17,29,47,25,63,53,19,81,15,24,34,32,7,4,24,13,9,34,Not Compliant
System-287,71,23,13,87,0,43,7,4,15,31,56,38,80,66,42,44,87,30,68,69,42,91,50,74,59,10,7,45,Not Compliant
System-288,34,28,54,41,89,26,48,56,94,37,51,41,37,86,33,49,10,42,35,4,66,79,82,20,30,92,8,48,Not Compliant
System-289,49,97,27,43,56,96,41,99,41,38,51,49,19,9,60,37,14,15,77,63,5,16,24,12,89,28,37,45,Not Compliant
System-290,57,0,8,26,93,78,87,56,74,83,81,80,61,73,84,37,65,59,88,72,40,55,77,28,96,22,7,59,Not Compliant
System-291,1,16,75,45,23,6,64,4,48,94,24,68,3,2,53,40,33,40,9,32,39,38,28,6,44,95,40,36,Not Compliant
System-292,31,69,58,18,62,97,21,38,11,73,47,83,23,99,21,56,30,42,91,27,49,72,92,19,74,56,34,52,Not Compliant
System-293,92,38,5,4,8,95,81,66,74,8,32,7,7,58,19,25,25,77,62,51,13,8,23,4,73,51,65,40,Not Compliant
System-294,34,78,53,88,63,40,45,10,38,60,46,26,84,56,84,16,18,18,61,76,25,68,27,96,80,74,42,53,Not Compliant
System-295,8,6,67,98,96,45,21,52,14,35,95,46,43,10,36,55,73,16,20,79,54,36,95,3,94,69,57,49,Not Compliant
System-296,87,63,19,45,80,57,98,76,14,95,3,60,87,70,22,42,89,42,38,55,72,30,24,85,25,27,25,53,Not Compliant
System-297,46,70,55,17,4,8,44,53,1,23,25,96,80,53,79,0,75,47,83,43,79,84,30,90,17,99,22,49,Not Compliant
System-298,75,47,88,84,12,10,90,32,39,4,78,84,21,67,74,88,67,88,14,36,64,94,86,51,51,10,77,57,Not Compliant
System-299,82,99,67,48,95,21,99,65,9,68,46,95,9,92,63,19,65,64,0,50,21,58,14,19,71,32,1,51,Not Compliant
System-300,14,97,64,65,63,36,29,41,69,24,0,25,36,81,34,33,12,40,70,42,49,48,53,80,31,79,23,46,Not Compliant
System-301,5,55,88,51,65,44,27,45,5,28,55,49,54,88,78,89,93,6,19,15,66,83,74,2,7,99,42,50,Not Compliant
System-302,85,92,97,95,90,88,94,88,88,86,84,86,87,95,84,82,80,89,99,83,87,83,96,98,97,91,91,90,Compliant
System-303,86,98,74,25,76,34,38,67,61,74,66,16,28,40,11,77,21,29,94,78,85,9,89,18,45,78,61,55,Not Compliant
System-304,50,20,81,45,69,65,69,85,0,75,88,14,85,26,34,96,49,93,0,85,29,82,82,51,88,48,79,59,Not Compliant
System-305,89,51,2,15,27,97,28,29,60,42,78,34,11,88,98,40,80,13,13,92,86,6,94,46,65,33,25,50,Not Compliant
System-306,17,50,15,69,53,28,88,32,4,7,22,67,81,54,86,46,79,75,16,74,91,20,43,38,43,29,78,49,Not Compliant
System-307,72,70,22,57,44,91,45,3,10,41,97,53,95,35,58,63,86,39,64,23,39,78,87,38,1,96,27,54,Not Compliant
System-308,97,85,81,84,87,80,94,92,84,97,99,86,98,88,87,89,97,88,93,97,87,88,87,87,86,97,96,91,Compliant
System-309,31,56,70,28,81,60,25,13,91,23,15,30,0,55,59,95,78,20,30,96,97,26,50,36,6,21,76,47,Not Compliant
System-310,11,72,78,2,88,24,95,26,36,2,49,25,51,76,34,82,49,34,70,35,85,45,22,82,75,20,39,49,Not Compliant
System-311,85,32,54,69,68,55,33,27,31,87,21,76,89,95,78,96,91,51,16,75,42,54,90,54,48,39,56,60,Not Compliant
System-312,45,98,80,19,87,67,63,31,99,84,35,41,42,0,99,85,9,95,64,13,49,14,22,52,79,47,26,54,Not Compliant
System-313,1,41,93,88,88,71,6,99,20,30,57,78,69,31,18,31,11,40,21,22,16,27,73,60,71,68,68,49,Not Compliant
System-314,98,11,30,40,25,71,8,10,58,50,6,57,36,30,73,30,91,21,73,76,51,54,65,33,71,24,99,48,Not Compliant
System-315,57,88,51,27,27,15,69,43,72,54,86,93,17,40,5,47,28,86,81,39,44,42,39,67,8,59,16,49,Not Compliant
System-316,23,13,78,85,21,67,18,75,20,3,80,71,82,73,71,5,54,58,14,20,93,3,74,1,19,23,76,46,Not Compliant
System-317,2,16,59,37,58,67,96,79,77,68,72,12,1,43,87,73,52,63,76,40,45,99,49,47,87,82,57,58,Not Compliant
System-318,54,43,71,72,74,20,85,15,30,92,44,76,88,62,19,46,35,36,93,9,99,79,78,61,2,19,9,53,Not Compliant
System-319,59,17,11,82,68,38,82,50,6,52,4,33,31,62,38,0,29,80,21,40,44,45,73,58,65,88,42,46,Not Compliant
System-320,53,8,43,66,7,0,1,31,94,59,20,16,83,95,55,71,78,93,36,49,91,10,42,15,59,20,14,45,Not Compliant
System-321,60,55,68,70,99,81,84,88,70,63,57,40,54,96,35,34,8,14,4,21,42,51,40,27,10,68,55,52,Not Compliant
System-322,29,71,89,32,90,13,78,68,12,80,95,8,75,38,76,54,43,76,30,52,27,94,87,59,63,78,41,58,Not Compliant
System-323,92,48,22,69,80,19,84,46,83,59,54,68,30,75,9,11,93,14,9,49,94,86,90,51,50,65,96,58,Not Compliant
System-324,89,85,93,87,96,98,87,87,92,83,93,95,93,98,98,86,99,84,89,90,96,86,93,98,87,83,80,91,Compliant
System-325,21,39,46,45,72,49,0,1,40,41,99,76,40,0,96,37,71,16,99,85,12,96,78,64,12,58,92,52,Not Compliant
System-326,93,16,62,49,75,92,20,85,19,68,33,49,48,46,51,47,36,20,78,42,20,77,8,25,59,58,22,49,Not Compliant
System-327,50,38,56,98,89,91,62,46,66,75,36,91,44,19,76,48,0,11,33,67,9,96,67,20,80,73,85,57,Not Compliant
System-328,61,31,22,62,33,2,44,81,27,86,3,96,52,37,53,19,53,92,58,18,60,24,60,30,74,4,91,48,Not Compliant
System-329,42,26,21,32,86,37,70,47,59,85,2,80,34,75,64,18,3,76,2,40,52,33,75,6,8,84,69,46,Not Compliant
System-330,38,98,24,94,42,74,32,62,82,94,99,88,55,65,90,99,58,2,99,97,3,62,37,0,71,34,42,61,Not Compliant
System-331,52,74,27,71,63,32,52,10,85,53,48,85,18,51,13,93,85,58,86,9,34,87,36,46,41,52,52,53,Not Compliant
System-332,1,6,28,33,36,98,54,31,68,41,89,92,84,10,42,19,56,78,65,48,15,36,22,90,93,77,43,51,Not Compliant
System-333,77,61,96,87,66,42,52,95,88,98,54,64,2,8,36,79,55,59,9,36,20,4,40,4,61,18,67,52,Not Compliant
System-334,56,70,24,81,33,43,31,14,61,1,15,37,79,75,84,93,80,26,95,38,41,99,51,95,12,98,18,54,Not Compliant
System-335,98,51,44,45,9,36,5,32,63,9,97,34,94,2,34,37,10,22,87,54,4,8,26,18,18,18,56,38,Not Compliant
System-336,15,28,8,12,28,79,17,42,35,85,17,20,8,41,35,51,41,14,45,33,14,45,13,5,24,62,47,32,Not Compliant
System-337,19,39,36,24,98,20,23,31,70,36,30,46,87,0,81,89,11,77,26,45,44,63,14,78,1,96,26,45,Not Compliant
System-338,1,53,64,42,65,72,45,58,81,41,76,97,83,65,78,81,6,56,51,86,73,2,60,93,22,83,58,59,Not Compliant
System-339,47,36,12,13,11,72,26,44,98,49,60,37,98,92,66,94,65,30,53,37,60,59,75,17,14,3,8,48,Not Compliant
System-340,94,80,86,84,97,94,96,93,88,88,91,81,80,92,84,86,91,95,87,85,81,81,89,97,96,91,90,89,Compliant
System-341,32,41,16,91,96,83,34,25,38,70,16,66,56,0,83,8,44,66,22,38,91,91,80,92,83,25,68,54,Not Compliant
System-342,83,85,98,94,92,96,88,89,89,88,82,88,90,94,94,89,93,96,90,89,99,89,81,81,85,84,93,90,Compliant
System-343,59,53,63,90,42,39,46,5,53,87,86,48,13,3,65,17,29,68,2,83,69,88,37,7,68,81,75,51,Not Compliant
System-344,91,83,93,83,81,93,81,84,94,92,81,97,99,86,89,82,84,86,98,93,88,89,84,80,97,92,83,89,Compliant
System-345,74,94,42,75,49,81,7,30,84,20,99,10,1,53,40,97,5,43,76,78,58,25,83,2,81,53,50,53,Not Compliant
System-346,71,80,59,75,94,55,71,90,82,49,47,43,37,6,50,46,7,78,60,8,97,22,45,63,16,27,47,53,Not Compliant
System-347,3,75,91,70,67,45,69,50,52,97,58,87,64,89,13,97,10,92,74,45,13,66,92,2,75,31,75,60,Not Compliant
System-348,16,46,28,52,10,93,19,9,42,97,24,24,81,92,68,81,9,78,16,36,8,81,5,24,24,75,27,44,Not Compliant
System-349,64,36,53,26,61,81,65,96,18,19,19,55,59,82,51,69,94,73,62,87,17,51,33,92,49,4,49,55,Not Compliant
System-350,39,13,66,89,10,47,20,68,77,21,37,64,23,68,69,58,24,63,50,53,94,93,45,57,15,92,42,52,Not Compliant
System-351,44,93,41,48,27,20,21,69,21,75,81,99,45,73,13,44,96,60,76,57,7,95,11,1,37,48,75,51,Not Compliant
System-352,64,32,41,3,23,7,32,62,77,62,72,94,11,36,78,2,16,1,93,52,5,43,0,60,93,46,1,41,Not Compliant
System-353,93,89,94,53,44,62,95,8,39,81,43,64,97,28,9,44,23,57,53,89,21,47,7,16,57,87,10,53,Not Compliant
System-354,26,82,97,82,40,65,12,51,43,93,26,89,60,85,86,80,81,2,49,4,4,49,93,9,27,23,87,54,Not Compliant
System-355,25,78,41,92,48,36,82,26,73,46,69,39,29,41,58,23,8,9,68,73,37,65,49,78,66,45,81,52,Not Compliant
System-356,35,50,32,52,31,13,28,15,39,34,27,41,45,25,45,95,21,7,45,57,54,65,45,92,65,32,96,44,Not Compliant
System-357,77,80,63,57,63,89,73,38,82,81,72,41,18,3,39,42,21,79,60,98,35,52,28,73,38,32,67,56,Not Compliant
System-358,77,74,12,26,46,5,13,6,5,64,20,25,85,63,56,43,47,85,53,61,88,50,89,81,47,21,88,50,Not Compliant
System-359,21,1,58,89,66,21,97,34,73,42,95,93,88,28,36,41,47,55,30,46,2,28,80,63,22,71,82,53,Not Compliant
System-360,15,59,14,1,77,36,75,31,97,19,15,60,36,8,98,66,93,56,89,55,2,80,67,66,80,19,5,49,Not Compliant
System-361,72,38,54,98,87,39,50,54,75,74,69,95,94,61,16,97,60,98,88,75,68,79,65,90,36,52,42,68,Not Compliant
System-362,39,57,68,0,0,10,58,99,74,95,37,34,95,21,75,93,84,52,25,21,86,90,48,37,7,28,49,52,Not Compliant
System-363,31,33,50,87,75,43,23,1,17,61,29,48,80,94,20,85,28,67,36,19,60,28,7,66,2,32,31,43,Not Compliant
System-364,88,89,81,83,82,88,92,80,91,94,96,97,85,85,89,93,93,98,89,99,89,92,92,98,96,87,80,90,Compliant
System-365,58,23,72,39,67,13,23,7,73,41,45,16,97,47,33,98,22,23,31,0,39,15,85,41,19,27,5,40,Not Compliant
System-366,56,11,23,0,46,80,26,98,65,79,22,27,88,17,68,23,33,46,88,17,32,19,7,72,9,25,97,44,Not Compliant
System-367,46,39,38,60,63,96,50,26,3,6,6,8,83,13,39,64,22,48,24,84,91,6,97,57,16,70,84,46,Not Compliant
System-368,85,34,29,50,98,60,23,40,24,15,27,24,77,76,94,33,82,72,41,68,36,77,45,22,87,25,81,53,Not Compliant
System-369,14,39,24,26,40,6,59,52,18,14,17,38,34,60,83,65,69,4,10,95,6,8,88,38,99,20,82,42,Not Compliant
System-370,2,2,37,1,13,79,1,44,71,31,99,74,29,81,47,15,93,90,42,28,98,73,25,13,69,83,57,49,Not Compliant
System-371,74,61,75,42,14,64,34,4,12,50,2,79,30,7,48,71,82,49,26,85,4,24,41,22,29,74,58,43,Not Compliant
System-372,55,75,87,57,55,52,57,82,62,99,73,8,42,22,34,49,5,70,38,87,98,18,34,56,7,25,23,51,Not Compliant
System-373,71,32,66,41,13,6,33,91,96,87,71,9,93,50,7,48,60,80,20,39,38,22,65,93,30,17,7,48,Not Compliant
System-374,34,50,99,95,70,80,38,83,65,65,70,56,81,88,95,56,56,26,77,18,85,81,74,31,48,80,40,65,Not Compliant
System-375,42,0,64,57,69,34,65,32,80,83,84,58,48,3,26,81,20,24,39,72,0,94,99,27,42,54,53,50,Not Compliant
System-376,70,35,6,8,90,65,19,35,30,74,57,16,57,6,18,56,62,73,58,72,22,77,24,54,44,41,46,45,Not Compliant
System-377,50,75,18,67,1,41,37,48,48,59,64,26,59,66,17,32,75,46,18,40,57,41,94,69,9,74,31,47,Not Compliant
System-378,31,88,33,47,53,95,13,19,54,82,20,16,26,67,87,14,8,11,52,67,77,71,68,90,37,93,95,53,Not Compliant
System-379,10,82,50,71,65,9,14,73,36,52,17,53,90,31,29,62,29,38,68,52,87,53,21,57,85,54,17,49,Not Compliant
System-380,73,79,18,38,0,41,1,10,26,66,19,82,62,90,71,89,13,31,7,2,38,49,54,31,47,92,84,45,Not Compliant
System-381,4,32,5,73,98,13,74,60,23,60,23,24,96,75,36,74,16,25,39,15,97,56,50,28,4,91,94,48,Not Compliant
System-382,39,72,76,85,79,26,14,55,54,19,51,21,63,35,85,79,67,58,28,30,58,77,11,1,39,77,32,50,Not Compliant
System-383,97,84,94,99,89,98,84,85,82,90,88,96,92,96,87,85,92,99,83,95,89,93,94,84,80,84,81,90,Compliant
System-384,83,25,70,84,27,30,0,74,27,78,36,4,23,86,12,72,31,77,44,99,48,58,52,16,73,50,89,51,Not Compliant
System-385,88,57,70,68,10,42,74,32,41,79,29,99,45,56,60,2,29,51,62,48,71,46,13,86,84,43,14,52,Not Compliant
System-386,22,11,37,80,85,75,91,56,29,33,37,40,31,3,1,73,66,98,0,96,15,94,3,39,49,79,28,48,Not Compliant
System-387,69,16,72,7,55,27,77,55,87,65,24,76,94,55,76,86,72,73,11,13,40,10,75,60,0,1,85,52,Not Compliant
System-388,24,7,84,74,36,96,35,71,87,75,39,49,86,51,9,2,97,62,84,30,92,56,75,29,10,27,3,52,Not Compliant
System-389,75,34,33,99,83,82,77,3,90,78,82,84,89,1,86,49,67,2,12,29,86,1,74,66,57,26,22,56,Not Compliant
System-390,93,28,30,99,22,37,53,58,39,76,48,83,87,17,78,75,79,28,33,68,69,58,56,36,50,59,44,56,Not Compliant
System-391,81,79,2,55,64,2,3,74,17,81,66,59,39,31,32,32,34,25,58,75,4,69,44,63,78,99,1,47,Not Compliant
System-392,39,88,97,60,49,66,47,79,89,74,45,75,17,76,36,42,65,24,98,5,15,75,38,98,91,37,14,57,Not Compliant
System-393,76,89,19,93,72,74,99,63,60,36,16,92,88,76,59,58,54,44,46,6,36,51,58,77,47,98,69,62,Not Compliant
System-394,89,35,90,64,30,94,41,66,85,49,41,67,32,45,15,51,10,0,96,99,94,72,4,54,93,48,40,56,Not Compliant
System-395,16,7,35,58,45,97,40,1,53,74,31,11,55,43,29,97,23,43,20,44,52,35,45,29,74,68,34,43,Not Compliant
System-396,97,40,23,37,79,87,36,94,31,90,58,54,57,99,15,18,70,59,91,52,56,76,32,47,65,55,77,60,Not Compliant
System-397,98,67,30,49,71,76,69,80,36,74,33,62,14,52,87,94,3,45,69,2,8,18,4,60,44,6,12,47,Not Compliant
System-398,54,2,54,32,32,44,21,48,29,35,47,14,52,15,94,1,28,36,78,73,93,30,24,40,1,67,42,41,Not Compliant
System-399,21,90,71,1,70,87,72,86,54,73,49,16,31,30,68,37,73,5,57,94,21,49,1,58,96,88,96,56,Not Compliant
System-400,59,79,73,28,98,25,65,83,79,11,21,73,46,4,59,48,42,2,18,54,19,24,39,32,16,89,81,47,Not Compliant
System-401,92,92,97,83,81,98,86,84,89,82,98,97,83,98,97,95,84,83,95,90,92,80,98,80,84,95,80,90,Compliant
System-402,41,98,17,14,86,49,63,13,93,95,10,78,99,14,95,42,64,94,77,33,95,12,6,28,7,86,84,56,Not Compliant
System-403,96,32,3,29,67,67,55,95,89,48,88,29,64,50,40,31,60,45,5,47,62,83,17,98,75,21,41,54,Not Compliant
System-404,92,91,97,80,96,92,84,93,80,98,93,81,88,84,86,89,98,95,94,83,95,96,80,97,86,99,86,91,Compliant
System-405,71,9,89,0,40,59,31,94,65,54,47,81,19,0,12,98,9,49,88,8,2,10,65,3,10,12,21,39,Not Compliant
System-406,39,14,84,49,42,32,76,23,94,75,27,79,0,3,32,82,10,69,21,98,92,10,22,67,64,74,78,51,Not Compliant
System-407,6,26,72,39,50,39,20,87,60,89,28,42,63,9,34,26,81,72,92,63,93,38,73,51,89,61,51,54,Not Compliant
System-408,86,64,90,86,57,35,84,68,49,60,96,60,39,67,18,21,58,45,22,72,9,96,78,7,58,8,32,55,Not Compliant
System-409,54,19,63,98,43,74,23,12,22,20,6,25,26,16,84,31,3,85,88,1,32,23,35,65,50,13,20,39,Not Compliant
